polygon,count,weight_sum,
RSA_0011_Asia,717,41448.8,14%
RSA_0006_South_Atlantic_Ocean,865,40179.5,13%
RSA_0038_Southern_Indian_Ocean,663,35199.5,12%
RSA_0005_North_Atlantic_Ocean,1193,30336,10%
RSA_0015_Pacific_Ocean_B,1165,28910,10%
RSA_0014_Pacific_Ocean_A,828,24882.2,8%
RSA_0010_North_Indian_Ocean,503,24337.6,8%
RSA_0007_Western_Africa,429,23002.9,8%
RSA_0009_Mediterranean_Sea,203,9919.5,3%
RSA_0012_Australia_A,354,9741.3,3%
RSA_0002_Western_South_America,164,7950.3,3%
RSA_0003_Gulf_of_Mexico_Caribbean,333,7936.3,3%
RSA_0008_North_Sea,112,5251.6,2%
RSA_0004_Eastern_North_America,167,5096.4,2%
RSA_0001_Western_North_America,165,4319,1%
RSA_0017_Alaska,56,749.3,0%
RSA_0013_Asutralia_B,1,65.7,0%
RSA_0016_Pacific_Ocean_C,0,_,0%
,,299325.9,
